,player_lines,Act No.
852,"    But this eternal blazon must not be
",ACT I.
853,"    To ears of flesh and blood. List, list, O, list!
",ACT I.
854,"    If thou didst ever thy dear father love-
",ACT I.
855,"  Ham. O God!
",ACT I.
856,"  Ghost. Revenge his foul and most unnatural murther.
",ACT I.
857,"  Ham. Murther?
",ACT I.
858,"  Ghost. Murther most foul, as in the best it is;
",ACT I.
859,"    But this most foul, strange, and unnatural.
",ACT I.
860,"  Ham. Haste me to know't, that I, with wings as swift
",ACT I.
861,"    As meditation or the thoughts of love,
",ACT I.
862,"    May sweep to my revenge.
",ACT I.
863,"  Ghost. I find thee apt;
",ACT I.
864,"    And duller shouldst thou be than the fat weed  
",ACT I.
865,"    That rots itself in ease on Lethe wharf,
",ACT I.
866,"    Wouldst thou not stir in this. Now, Hamlet, hear.
",ACT I.
867,"    'Tis given out that, sleeping in my orchard,
",ACT I.
868,"    A serpent stung me. So the whole ear of Denmark
",ACT I.
869,"    Is by a forged process of my death
",ACT I.
870,"    Rankly abus'd. But know, thou noble youth,
",ACT I.
871,"    The serpent that did sting thy father's life
",ACT I.
872,"    Now wears his crown.
",ACT I.
873,"  Ham. O my prophetic soul!
",ACT I.
874,"    My uncle?
",ACT I.
875,"  Ghost. Ay, that incestuous, that adulterate beast,
",ACT I.
876,"    With witchcraft of his wit, with traitorous gifts-
",ACT I.
877,"    O wicked wit and gifts, that have the power
",ACT I.
878,"    So to seduce!- won to his shameful lust
",ACT I.
879,"    The will of my most seeming-virtuous queen.
",ACT I.
880,"    O Hamlet, what a falling-off was there,
",ACT I.
881,"    From me, whose love was of that dignity
",ACT I.
882,"    That it went hand in hand even with the vow
",ACT I.
883,"    I made to her in marriage, and to decline
",ACT I.
884,"    Upon a wretch whose natural gifts were poor  
",ACT I.
885,"    To those of mine!
",ACT I.
886,"    But virtue, as it never will be mov'd,
",ACT I.
887,"    Though lewdness court it in a shape of heaven,
",ACT I.
888,"    So lust, though to a radiant angel link'd,
",ACT I.
889,"    Will sate itself in a celestial bed
",ACT I.
890,"    And prey on garbage.
",ACT I.
891,"    But soft! methinks I scent the morning air.
",ACT I.
892,"    Brief let me be. Sleeping within my orchard,
",ACT I.
893,"    My custom always of the afternoon,
",ACT I.
894,"    Upon my secure hour thy uncle stole,
",ACT I.
895,"    With juice of cursed hebona in a vial,
",ACT I.
896,"    And in the porches of my ears did pour
",ACT I.
897,"    The leperous distilment; whose effect
",ACT I.
898,"    Holds such an enmity with blood of man
",ACT I.
899,"    That swift as quicksilverr it courses through
",ACT I.
900,"    The natural gates and alleys of the body,
",ACT I.
901,"    And with a sudden vigour it doth posset
",ACT I.
902,"    And curd, like eager droppings into milk,
",ACT I.
903,"    The thin and wholesome blood. So did it mine;
",ACT I.
904,"    And a most instant tetter bark'd about,  
",ACT I.
905,"    Most lazar-like, with vile and loathsome crust
",ACT I.
906,"    All my smooth body.
",ACT I.
907,"    Thus was I, sleeping, by a brother's hand
",ACT I.
908,"    Of life, of crown, of queen, at once dispatch'd;
",ACT I.
909,"    Cut off even in the blossoms of my sin,
",ACT I.
910,"    Unhous'led, disappointed, unanel'd,
",ACT I.
911,"    No reckoning made, but sent to my account
",ACT I.
912,"    With all my imperfections on my head.
",ACT I.
913,"  Ham. O, horrible! O, horrible! most horrible!
",ACT I.
914,"  Ghost. If thou hast nature in thee, bear it not.
",ACT I.
915,"    Let not the royal bed of Denmark be
",ACT I.
916,"    A couch for luxury and damned incest.
",ACT I.
917,"    But, howsoever thou pursuest this act,
",ACT I.
918,"    Taint not thy mind, nor let thy soul contrive
",ACT I.
919,"    Against thy mother aught. Leave her to heaven,
",ACT I.
920,"    And to those thorns that in her bosom lodge
",ACT I.
921,"    To prick and sting her. Fare thee well at once.
",ACT I.
922,"    The glowworm shows the matin to be near
",ACT I.
923,"    And gins to pale his uneffectual fire.
",ACT I.
924,"    Adieu, adieu, adieu! Remember me.                      Exit.  
",ACT I.
925,"  Ham. O all you host of heaven! O earth! What else?
",ACT I.
926,"    And shall I couple hell? Hold, hold, my heart!
",ACT I.
927,"    And you, my sinews, grow not instant old,
",ACT I.
928,"    But bear me stiffly up. Remember thee?
",ACT I.
929,"    Ay, thou poor ghost, while memory holds a seat
",ACT I.
930,"    In this distracted globe. Remember thee?
",ACT I.
931,"    Yea, from the table of my memory
",ACT I.
932,"    I'll wipe away all trivial fond records,
",ACT I.
933,"    All saws of books, all forms, all pressures past
",ACT I.
934,"    That youth and observation copied there,
",ACT I.
935,"    And thy commandment all alone shall live
",ACT I.
936,"    Within the book and volume of my brain,
",ACT I.
937,"    Unmix'd with baser matter. Yes, by heaven!
",ACT I.
938,"    O most pernicious woman!
",ACT I.
939,"    O villain, villain, smiling, damned villain!
",ACT I.
940,"    My tables! Meet it is I set it down
",ACT I.
941,"    That one may smile, and smile, and be a villain;
",ACT I.
942,"    At least I am sure it may be so in Denmark.        [Writes.]
",ACT I.
943,"    So, uncle, there you are. Now to my word:
",ACT I.
944,"    It is 'Adieu, adieu! Remember me.'  
",ACT I.
945,"    I have sworn't.
",ACT I.
946,"  Hor. (within) My lord, my lord!
",ACT I.
947,"
",ACT I.
948,"                   Enter Horatio and Marcellus.
",ACT I.
949,"
",ACT I.
950,"  Mar. Lord Hamlet!
",ACT I.
951,"  Hor. Heaven secure him!
",ACT I.
952,"  Ham. So be it!
",ACT I.
953,"  Mar. Illo, ho, ho, my lord!
",ACT I.
954,"  Ham. Hillo, ho, ho, boy! Come, bird, come.
",ACT I.
955,"  Mar. How is't, my noble lord?
",ACT I.
956,"  Hor. What news, my lord?
",ACT I.
957,"  Mar. O, wonderful!
",ACT I.
958,"  Hor. Good my lord, tell it.
",ACT I.
959,"  Ham. No, you will reveal it.
",ACT I.
960,"  Hor. Not I, my lord, by heaven!
",ACT I.
961,"  Mar. Nor I, my lord.
",ACT I.
962,"  Ham. How say you then? Would heart of man once think it?
",ACT I.
963,"    But you'll be secret?
",ACT I.
964,"  Both. Ay, by heaven, my lord.  
",ACT I.
965,"  Ham. There's neer a villain dwelling in all Denmark
",ACT I.
966,"    But he's an arrant knave.
",ACT I.
967,"  Hor. There needs no ghost, my lord, come from the grave
",ACT I.
968,"    To tell us this.
",ACT I.
969,"  Ham. Why, right! You are in the right!
",ACT I.
970,"    And so, without more circumstance at all,
",ACT I.
971,"    I hold it fit that we shake hands and part;
",ACT I.
972,"    You, as your business and desires shall point you,
",ACT I.
973,"    For every man hath business and desire,
",ACT I.
974,"    Such as it is; and for my own poor part,
",ACT I.
975,"    Look you, I'll go pray.
",ACT I.
976,"  Hor. These are but wild and whirling words, my lord.
",ACT I.
977,"  Ham. I am sorry they offend you, heartily;
",ACT I.
978,"    Yes, faith, heartily.
",ACT I.
979,"  Hor. There's no offence, my lord.
",ACT I.
980,"  Ham. Yes, by Saint Patrick, but there is, Horatio,
",ACT I.
981,"    And much offence too. Touching this vision here,
",ACT I.
982,"    It is an honest ghost, that let me tell you.
",ACT I.
983,"    For your desire to know what is between us,
",ACT I.
984,"    O'ermaster't as you may. And now, good friends,  
",ACT I.
985,"    As you are friends, scholars, and soldiers,
",ACT I.
986,"    Give me one poor request.
",ACT I.
987,"  Hor. What is't, my lord? We will.
",ACT I.
988,"  Ham. Never make known what you have seen to-night.
",ACT I.
989,"  Both. My lord, we will not.
",ACT I.
990,"  Ham. Nay, but swear't.
",ACT I.
991,"  Hor. In faith,
",ACT I.
992,"    My lord, not I.
",ACT I.
993,"  Mar. Nor I, my lord- in faith.
",ACT I.
994,"  Ham. Upon my sword.
",ACT I.
995,"  Mar. We have sworn, my lord, already.
",ACT I.
996,"  Ham. Indeed, upon my sword, indeed.
",ACT I.
997,"
",ACT I.
998,"                 Ghost cries under the stage.
",ACT I.
999,"
",ACT I.
1000,"  Ghost. Swear.
",ACT I.
1001,"  Ham. Aha boy, say'st thou so? Art thou there, truepenny?
",ACT I.
1002,"    Come on! You hear this fellow in the cellarage.
",ACT I.
1003,"    Consent to swear.
",ACT I.
1004,"  Hor. Propose the oath, my lord.  
",ACT I.
1005,"  Ham. Never to speak of this that you have seen.
",ACT I.
1006,"    Swear by my sword.
",ACT I.
1007,"  Ghost. [beneath] Swear.
",ACT I.
1008,"  Ham. Hic et ubique? Then we'll shift our ground.
",ACT I.
1009,"    Come hither, gentlemen,
",ACT I.
1010,"    And lay your hands again upon my sword.
",ACT I.
1011,"    Never to speak of this that you have heard:
",ACT I.
1012,"    Swear by my sword.
",ACT I.
1013,"  Ghost. [beneath] Swear by his sword.
",ACT I.
1014,"  Ham. Well said, old mole! Canst work i' th' earth so fast?
",ACT I.
1015,"    A worthy pioner! Once more remove, good friends.""
",ACT I.
1016,"  Hor. O day and night, but this is wondrous strange!
",ACT I.
1017,"  Ham. And therefore as a stranger give it welcome.
",ACT I.
1018,"    There are more things in heaven and earth, Horatio,
",ACT I.
1019,"    Than are dreamt of in your philosophy.
",ACT I.
1020,"    But come!
",ACT I.
1021,"    Here, as before, never, so help you mercy,
",ACT I.
1022,"    How strange or odd soe'er I bear myself
",ACT I.
1023,"    (As I perchance hereafter shall think meet
",ACT I.
1024,"    To put an antic disposition on),  
",ACT I.
1025,"    That you, at such times seeing me, never shall,
",ACT I.
1026,"    With arms encumb'red thus, or this head-shake,
",ACT I.
1027,"    Or by pronouncing of some doubtful phrase,
",ACT I.
1028,"    As 'Well, well, we know,' or 'We could, an if we would,'
",ACT I.
1029,"    Or 'If we list to speak,' or 'There be, an if they might,'
",ACT I.
1030,"    Or such ambiguous giving out, to note
",ACT I.
1031,"    That you know aught of me- this is not to do,
",ACT I.
1032,"    So grace and mercy at your most need help you,
",ACT I.
1033,"    Swear.
",ACT I.
1034,"  Ghost. [beneath] Swear.
",ACT I.
1035,"                                                   [They swear.]
",ACT I.
1036,"  Ham. Rest, rest, perturbed spirit! So, gentlemen,
",ACT I.
1037,"    With all my love I do commend me to you;
",ACT I.
1038,"    And what so poor a man as Hamlet is
",ACT I.
1039,"    May do t' express his love and friending to you,
",ACT I.
1040,"    God willing, shall not lack. Let us go in together;
",ACT I.
1041,"    And still your fingers on your lips, I pray.
",ACT I.
1042,"    The time is out of joint. O cursed spite
",ACT I.
1043,"    That ever I was born to set it right!
",ACT I.
1044,"    Nay, come, let's go together.  
",ACT I.
1045,"                                                         Exeunt.
",ACT I.
1046,"
",ACT I.
1047,"
",ACT I.
1048,"
",ACT I.
1049,"
",ACT I.
1050,"Act II. Scene I.
",ACT II.
1051,"Elsinore. A room in the house of Polonius.
",ACT II.
1052,"
",ACT II.
1053,"Enter Polonius and Reynaldo.
",ACT II.
1054,"
",ACT II.
1055,"  Pol. Give him this money and these notes, Reynaldo.
",ACT II.
1056,"  Rey. I will, my lord.
",ACT II.
1057,"  Pol. You shall do marvell's wisely, good Reynaldo,
",ACT II.
1058,"    Before You visit him, to make inquire
",ACT II.
1059,"    Of his behaviour.
",ACT II.
1060,"  Rey. My lord, I did intend it.
",ACT II.
1061,"  Pol. Marry, well said, very well said. Look you, sir,
",ACT II.
1062,"    Enquire me first what Danskers are in Paris;
",ACT II.
1063,"    And how, and who, what means, and where they keep,
",ACT II.
1064,"    What company, at what expense; and finding
",ACT II.
1065,"    By this encompassment and drift of question
",ACT II.
1066,"    That they do know my son, come you more nearer
",ACT II.
1067,"    Than your particular demands will touch it.
",ACT II.
1068,"    Take you, as 'twere, some distant knowledge of him;
",ACT II.
1069,"    As thus, 'I know his father and his friends,
",ACT II.
1070,"    And in part him.' Do you mark this, Reynaldo?
",ACT II.
1071,"  Rey. Ay, very well, my lord.  
",ACT II.
1072,"  Pol. 'And in part him, but,' you may say, 'not well.
",ACT II.
1073,"    But if't be he I mean, he's very wild
",ACT II.
1074,"    Addicted so and so'; and there put on him
",ACT II.
1075,"    What forgeries you please; marry, none so rank
",ACT II.
1076,"    As may dishonour him- take heed of that;
",ACT II.
1077,"    But, sir, such wanton, wild, and usual slips
",ACT II.
1078,"    As are companions noted and most known
",ACT II.
1079,"    To youth and liberty.
",ACT II.
1080,"  Rey. As gaming, my lord.
",ACT II.
1081,"  Pol. Ay, or drinking, fencing, swearing, quarrelling,
",ACT II.
1082,"    Drabbing. You may go so far.
",ACT II.
1083,"  Rey. My lord, that would dishonour him.
",ACT II.
1084,"  Pol. Faith, no, as you may season it in the charge.
",ACT II.
1085,"    You must not put another scandal on him,
",ACT II.
1086,"    That he is open to incontinency.
",ACT II.
1087,"    That's not my meaning. But breathe his faults so quaintly
",ACT II.
1088,"    That they may seem the taints of liberty,
",ACT II.
1089,"    The flash and outbreak of a fiery mind,
",ACT II.
1090,"    A savageness in unreclaimed blood,
",ACT II.
1091,"    Of general assault.  
",ACT II.
1092,"  Rey. But, my good lord-
",ACT II.
1093,"  Pol. Wherefore should you do this?
",ACT II.
1094,"  Rey. Ay, my lord,
",ACT II.
1095,"    I would know that.
",ACT II.
1096,"  Pol. Marry, sir, here's my drift,
",ACT II.
1097,"    And I believe it is a fetch of warrant.
",ACT II.
1098,"    You laying these slight sullies on my son
",ACT II.
1099,"    As 'twere a thing a little soil'd i' th' working,
",ACT II.
1100,"    Mark you,
",ACT II.
1101,"    Your party in converse, him you would sound,
",ACT II.
1102,"    Having ever seen in the prenominate crimes
",ACT II.
1103,"    The youth you breathe of guilty, be assur'd
",ACT II.
1104,"    He closes with you in this consequence:
",ACT II.
1105,"    'Good sir,' or so, or 'friend,' or 'gentleman'-
",ACT II.
1106,"    According to the phrase or the addition
",ACT II.
1107,"    Of man and country-
",ACT II.
1108,"  Rey. Very good, my lord.
",ACT II.
1109,"  Pol. And then, sir, does 'a this- 'a does- What was I about to say?
",ACT II.
1110,"    By the mass, I was about to say something! Where did I leave?
",ACT II.
1111,"  Rey. At 'closes in the consequence,' at 'friend or so,' and  
",ACT II.
1112,"    gentleman.'
",ACT II.
1113,"  Pol. At 'closes in the consequence'- Ay, marry!
",ACT II.
1114,"    He closes thus: 'I know the gentleman.
",ACT II.
1115,"    I saw him yesterday, or t'other day,
",ACT II.
1116,"    Or then, or then, with such or such; and, as you say,
",ACT II.
1117,"    There was 'a gaming; there o'ertook in's rouse;
",ACT II.
1118,"    There falling out at tennis'; or perchance,
",ACT II.
1119,"    'I saw him enter such a house of sale,'
",ACT II.
1120,"    Videlicet, a brothel, or so forth.
",ACT II.
1121,"    See you now-
",ACT II.
1122,"    Your bait of falsehood takes this carp of truth;
",ACT II.
1123,"    And thus do we of wisdom and of reach,
",ACT II.
1124,"    With windlasses and with assays of bias,
",ACT II.
1125,"    By indirections find directions out.
",ACT II.
1126,"    So, by my former lecture and advice,
",ACT II.
1127,"    Shall you my son. You have me, have you not
",ACT II.
1128,"  Rey. My lord, I have.
",ACT II.
1129,"  Pol. God b' wi' ye, fare ye well!
",ACT II.
1130,"  Rey. Good my lord!                                    [Going.]
",ACT II.
1131,"  Pol. Observe his inclination in yourself.  
",ACT II.
1132,"  Rey. I shall, my lord.
",ACT II.
1133,"  Pol. And let him ply his music.
",ACT II.
1134,"  Rey. Well, my lord.
",ACT II.
1135,"  Pol. Farewell!
",ACT II.
1136,"                                                  Exit Reynaldo.
",ACT II.
1137,"
",ACT II.
1138,"                       Enter Ophelia.
",ACT II.
1139,"
",ACT II.
1140,"    How now, Ophelia? What's the matter?
",ACT II.
1141,"  Oph. O my lord, my lord, I have been so affrighted!
",ACT II.
1142,"  Pol. With what, i' th' name of God I
",ACT II.
1143,"  Oph. My lord, as I was sewing in my closet,
",ACT II.
1144,"    Lord Hamlet, with his doublet all unbrac'd,
",ACT II.
1145,"    No hat upon his head, his stockings foul'd,
",ACT II.
1146,"    Ungart'red, and down-gyved to his ankle;
",ACT II.
1147,"    Pale as his shirt, his knees knocking each other,
",ACT II.
1148,"    And with a look so piteous in purport
",ACT II.
1149,"    As if he had been loosed out of hell
",ACT II.
1150,"    To speak of horrors- he comes before me.
",ACT II.
1151,"  Pol. Mad for thy love?  
",ACT II.
1152,"  Oph. My lord, I do not know,
",ACT II.
1153,"    But truly I do fear it.
",ACT II.
1154,"  Pol. What said he?
",ACT II.
1155,"  Oph. He took me by the wrist and held me hard;
",ACT II.
1156,"    Then goes he to the length of all his arm,
",ACT II.
1157,"    And, with his other hand thus o'er his brow,
",ACT II.
1158,"    He falls to such perusal of my face
",ACT II.
1159,"    As he would draw it. Long stay'd he so.
",ACT II.
1160,"    At last, a little shaking of mine arm,
",ACT II.
1161,"    And thrice his head thus waving up and down,
",ACT II.
1162,"    He rais'd a sigh so piteous and profound
",ACT II.
1163,"    As it did seem to shatter all his bulk
",ACT II.
1164,"    And end his being. That done, he lets me go,
",ACT II.
1165,"    And with his head over his shoulder turn'd
",ACT II.
1166,"    He seem'd to find his way without his eyes,
",ACT II.
1167,"    For out o' doors he went without their help
",ACT II.
1168,"    And to the last bended their light on me.
",ACT II.
1169,"  Pol. Come, go with me. I will go seek the King.
",ACT II.
1170,"    This is the very ecstasy of love,
",ACT II.
1171,"    Whose violent property fordoes itself  
",ACT II.
1172,"    And leads the will to desperate undertakings
",ACT II.
1173,"    As oft as any passion under heaven
",ACT II.
1174,"    That does afflict our natures. I am sorry.
",ACT II.
1175,"    What, have you given him any hard words of late?
",ACT II.
1176,"  Oph. No, my good lord; but, as you did command,
",ACT II.
1177,"    I did repel his letters and denied
",ACT II.
1178,"    His access to me.
",ACT II.
1179,"  Pol. That hath made him mad.
",ACT II.
1180,"    I am sorry that with better heed and judgment
",ACT II.
1181,"    I had not quoted him. I fear'd he did but trifle
",ACT II.
1182,"    And meant to wrack thee; but beshrew my jealousy!
",ACT II.
1183,"    By heaven, it is as proper to our age
",ACT II.
1184,"    To cast beyond ourselves in our opinions
",ACT II.
1185,"    As it is common for the younger sort
",ACT II.
1186,"    To lack discretion. Come, go we to the King.
",ACT II.
1187,"    This must be known; which, being kept close, might move
",ACT II.
1188,"    More grief to hide than hate to utter love.
",ACT II.
1189,"    Come.
",ACT II.
1190,"                                                         Exeunt.
",ACT II.
1191,"
",ACT II.
1192,"Scene II.
",ACT II.
1193,"Elsinore. A room in the Castle.
",ACT II.
1194,"
",ACT II.
1195,"Flourish. [Enter King and Queen, Rosencrantz and Guildenstern, cum aliis.
",ACT II.
1196,"
",ACT II.
1197,"  King. Welcome, dear Rosencrantz and Guildenstern.
",ACT II.
1198,"    Moreover that we much did long to see you,
",ACT II.
1199,"    The need we have to use you did provoke
",ACT II.
1200,"    Our hasty sending. Something have you heard
",ACT II.
1201,"    Of Hamlet's transformation. So I call it,
",ACT II.
1202,"    Sith nor th' exterior nor the inward man
",ACT II.
1203,"    Resembles that it was. What it should be,
",ACT II.
1204,"    More than his father's death, that thus hath put him
",ACT II.
1205,"    So much from th' understanding of himself,
",ACT II.
1206,"    I cannot dream of. I entreat you both
",ACT II.
1207,"    That, being of so young clays brought up with him,
",ACT II.
1208,"    And since so neighbour'd to his youth and haviour,
",ACT II.
1209,"    That you vouchsafe your rest here in our court
",ACT II.
1210,"    Some little time; so by your companies
",ACT II.
1211,"    To draw him on to pleasures, and to gather
",ACT II.
1212,"    So much as from occasion you may glean,  
",ACT II.
1213,"    Whether aught to us unknown afflicts him thus
",ACT II.
1214,"    That, open'd, lies within our remedy.
",ACT II.
1215,"  Queen. Good gentlemen, he hath much talk'd of you,
",ACT II.
1216,"    And sure I am two men there are not living
",ACT II.
1217,"    To whom he more adheres. If it will please you
",ACT II.
1218,"    To show us so much gentry and good will
",ACT II.
1219,"    As to expend your time with us awhile
",ACT II.
1220,"    For the supply and profit of our hope,
",ACT II.
1221,"    Your visitation shall receive such thanks
",ACT II.
1222,"    As fits a king's remembrance.
",ACT II.
1223,"  Ros. Both your Majesties
",ACT II.
1224,"    Might, by the sovereign power you have of us,
",ACT II.
1225,"    Put your dread pleasures more into command
",ACT II.
1226,"    Than to entreaty.
",ACT II.
1227,"  Guil. But we both obey,
",ACT II.
1228,"    And here give up ourselves, in the full bent,
",ACT II.
1229,"    To lay our service freely at your feet,
",ACT II.
1230,"    To be commanded.
",ACT II.
1231,"  King. Thanks, Rosencrantz and gentle Guildenstern.
",ACT II.
1232,"  Queen. Thanks, Guildenstern and gentle Rosencrantz.  
",ACT II.
1233,"    And I beseech you instantly to visit
",ACT II.
1234,"    My too much changed son.- Go, some of you,
",ACT II.
1235,"    And bring these gentlemen where Hamlet is.
",ACT II.
1236,"  Guil. Heavens make our presence and our practices
",ACT II.
1237,"    Pleasant and helpful to him!
",ACT II.
1238,"  Queen. Ay, amen!
",ACT II.
1239,"                 Exeunt Rosencrantz and Guildenstern, [with some
",ACT II.
1240,"                                                    Attendants].
",ACT II.
1241,"
",ACT II.
1242,"                         Enter Polonius.
",ACT II.
1243,"
",ACT II.
1244,"  Pol. Th' ambassadors from Norway, my good lord,
",ACT II.
1245,"    Are joyfully return'd.
",ACT II.
1246,"  King. Thou still hast been the father of good news.
",ACT II.
1247,"  Pol. Have I, my lord? Assure you, my good liege,
",ACT II.
1248,"    I hold my duty as I hold my soul,
",ACT II.
1249,"    Both to my God and to my gracious king;
",ACT II.
1250,"    And I do think- or else this brain of mine
",ACT II.
1251,"    Hunts not the trail of policy so sure
",ACT II.
1252,"    As it hath us'd to do- that I have found  
",ACT II.
1253,"    The very cause of Hamlet's lunacy.
",ACT II.
1254,"  King. O, speak of that! That do I long to hear.
",ACT II.
1255,"  Pol. Give first admittance to th' ambassadors.
",ACT II.
1256,"    My news shall be the fruit to that great feast.
",ACT II.
1257,"  King. Thyself do grace to them, and bring them in.
",ACT II.
1258,"                                                [Exit Polonius.]
",ACT II.
1259,"    He tells me, my dear Gertrude, he hath found
",ACT II.
1260,"    The head and source of all your son's distemper.
",ACT II.
1261,"  Queen. I doubt it is no other but the main,
",ACT II.
1262,"    His father's death and our o'erhasty marriage.
",ACT II.
1263,"  King. Well, we shall sift him.
",ACT II.
1264,"
",ACT II.
1265,"              Enter Polonius, Voltemand, and Cornelius.
",ACT II.
1266,"
",ACT II.
1267,"    Welcome, my good friends.
",ACT II.
1268,"    Say, Voltemand, what from our brother Norway?
",ACT II.
1269,"  Volt. Most fair return of greetings and desires.
",ACT II.
1270,"    Upon our first, he sent out to suppress
",ACT II.
1271,"    His nephew's levies; which to him appear'd
",ACT II.
1272,"    To be a preparation 'gainst the Polack,  
",ACT II.
1273,"    But better look'd into, he truly found
",ACT II.
1274,"    It was against your Highness; whereat griev'd,
",ACT II.
1275,"    That so his sickness, age, and impotence
",ACT II.
1276,"    Was falsely borne in hand, sends out arrests
",ACT II.
1277,"    On Fortinbras; which he, in brief, obeys,
",ACT II.
1278,"    Receives rebuke from Norway, and, in fine,
",ACT II.
1279,"    Makes vow before his uncle never more
",ACT II.
1280,"    To give th' assay of arms against your Majesty.
",ACT II.
1281,"    Whereon old Norway, overcome with joy,
",ACT II.
1282,"    Gives him three thousand crowns in annual fee
",ACT II.
1283,"    And his commission to employ those soldiers,
",ACT II.
1284,"    So levied as before, against the Polack;
",ACT II.
1285,"    With an entreaty, herein further shown,
",ACT II.
1286,"                                                [Gives a paper.]
",ACT II.
1287,"    That it might please you to give quiet pass
",ACT II.
1288,"    Through your dominions for this enterprise,
",ACT II.
1289,"    On such regards of safety and allowance
",ACT II.
1290,"    As therein are set down.
",ACT II.
1291,"  King. It likes us well;
",ACT II.
1292,"    And at our more consider'd time we'll read,  
",ACT II.
1293,"    Answer, and think upon this business.
",ACT II.
1294,"    Meantime we thank you for your well-took labour.
",ACT II.
1295,"    Go to your rest; at night we'll feast together.
",ACT II.
1296,"    Most welcome home!                       Exeunt Ambassadors.
",ACT II.
1297,"  Pol. This business is well ended.
",ACT II.
1298,"    My liege, and madam, to expostulate
",ACT II.
1299,"    What majesty should be, what duty is,
",ACT II.
1300,"    Why day is day, night is night, and time is time.
",ACT II.
1301,"    Were nothing but to waste night, day, and time.
",ACT II.
1302,"    Therefore, since brevity is the soul of wit,
",ACT II.
1303,"    And tediousness the limbs and outward flourishes,
",ACT II.
1304,"    I will be brief. Your noble son is mad.
",ACT II.
1305,"    Mad call I it; for, to define true madness,
",ACT II.
1306,"    What is't but to be nothing else but mad?
",ACT II.
1307,"    But let that go.
",ACT II.
1308,"  Queen. More matter, with less art.
",ACT II.
1309,"  Pol. Madam, I swear I use no art at all.
",ACT II.
1310,"    That he is mad, 'tis true: 'tis true 'tis pity;
",ACT II.
1311,"    And pity 'tis 'tis true. A foolish figure!
",ACT II.
1312,"    But farewell it, for I will use no art.  
",ACT II.
1313,"    Mad let us grant him then. And now remains
",ACT II.
1314,"    That we find out the cause of this effect-
",ACT II.
1315,"    Or rather say, the cause of this defect,
",ACT II.
1316,"    For this effect defective comes by cause.
",ACT II.
1317,"    Thus it remains, and the remainder thus.
",ACT II.
1318,"    Perpend.
",ACT II.
1319,"    I have a daughter (have while she is mine),
",ACT II.
1320,"    Who in her duty and obedience, mark,
",ACT II.
1321,"    Hath given me this. Now gather, and surmise.
",ACT II.
1322,"                                             [Reads] the letter.
",ACT II.
1323,"    'To the celestial, and my soul's idol, the most beautified
",ACT II.
1324,"      Ophelia,'-
",ACT II.
1325,"
",ACT II.
1326,"    That's an ill phrase, a vile phrase; 'beautified' is a vile
",ACT II.
1327,"      phrase.
",ACT II.
1328,"    But you shall hear. Thus:
",ACT II.
1329,"                                                        [Reads.]
",ACT II.
1330,"    'In her excellent white bosom, these, &c.'
",ACT II.
1331,"  Queen. Came this from Hamlet to her?
",ACT II.
1332,"  Pol. Good madam, stay awhile. I will be faithful.     [Reads.]  
",ACT II.
1333,"
",ACT II.
1334,"          'Doubt thou the stars are fire;
",ACT II.
1335,"            Doubt that the sun doth move;
",ACT II.
1336,"          Doubt truth to be a liar;
",ACT II.
1337,"            But never doubt I love.
",ACT II.
1338,"      'O dear Ophelia, I am ill at these numbers; I have not art to
",ACT II.
1339,"    reckon my groans; but that I love thee best, O most best, believe
",ACT II.
1340,"    it. Adieu.
",ACT II.
1341,"      'Thine evermore, most dear lady, whilst this machine is to him,
",ACT II.
1342,"                                                          HAMLET.'
",ACT II.
1343,"
",ACT II.
1344,"    This, in obedience, hath my daughter shown me;
",ACT II.
1345,"    And more above, hath his solicitings,
",ACT II.
1346,"    As they fell out by time, by means, and place,
",ACT II.
1347,"    All given to mine ear.
",ACT II.
1348,"  King. But how hath she
",ACT II.
1349,"    Receiv'd his love?
",ACT II.
1350,"  Pol. What do you think of me?
",ACT II.
1351,"  King. As of a man faithful and honourable.
",ACT II.
1352,"  Pol. I would fain prove so. But what might you think,  
",ACT II.
1353,"    When I had seen this hot love on the wing
",ACT II.
1354,"    (As I perceiv'd it, I must tell you that,
",ACT II.
1355,"    Before my daughter told me), what might you,
",ACT II.
1356,"    Or my dear Majesty your queen here, think,
",ACT II.
1357,"    If I had play'd the desk or table book,
",ACT II.
1358,"    Or given my heart a winking, mute and dumb,
",ACT II.
1359,"    Or look'd upon this love with idle sight?
",ACT II.
1360,"    What might you think? No, I went round to work
",ACT II.
1361,"    And my young mistress thus I did bespeak:
",ACT II.
1362,"    'Lord Hamlet is a prince, out of thy star.
",ACT II.
1363,"    This must not be.' And then I prescripts gave her,
",ACT II.
1364,"    That she should lock herself from his resort,
",ACT II.
1365,"    Admit no messengers, receive no tokens.
",ACT II.
1366,"    Which done, she took the fruits of my advice,
",ACT II.
1367,"    And he, repulsed, a short tale to make,
",ACT II.
1368,"    Fell into a sadness, then into a fast,
",ACT II.
1369,"    Thence to a watch, thence into a weakness,
",ACT II.
1370,"    Thence to a lightness, and, by this declension,
",ACT II.
1371,"    Into the madness wherein now he raves,
",ACT II.
1372,"    And all we mourn for.  
",ACT II.
1373,"  King. Do you think 'tis this?
",ACT II.
1374,"  Queen. it may be, very like.
",ACT II.
1375,"  Pol. Hath there been such a time- I would fain know that-
",ACT II.
1376,"    That I have Positively said ''Tis so,'
",ACT II.
